University_Name,Location,Ranking,Tutionfee,Enrollment
Rutgers University--New Brunswick,Piscataway,54,"[['full-time', '$17,736 per year (in-state)'], ['full-time', '$30,144 per year (out-of-state)'], ['part-time', '$739 per credit (in-state)'], ['part-time', '$1,256 per credit (out-of-state)']]",734
University of Massachusetts--Amherst,Amherst,54,"[['full-time', '$14,014 per year (in-state)'], ['full-time', '$30,120 per year (out-of-state)'], ['part-time', '$4,163 per credit (in-state)'], ['part-time', '$8,086 per credit (out-of-state)']]","1,054"
University of Utah,Salt Lake City,58,"[['full-time', '$8,247 per year (in-state)'], ['full-time', '$25,286 per year (out-of-state)'], ['part-time', '$6,091 per year (in-state)'], ['part-time', '$18,969 per year (out-of-state)']]","1,244"
Michigan State University,East Lansing,59,"[['full-time', '$876 per credit (in-state)'], ['full-time', '$1,641 per credit (out-of-state)']]",914
University at Buffalo--SUNY,Buffalo,59,"[['full-time', '$11,310 per year (in-state)'], ['full-time', '$23,100 per year (out-of-state)'], ['part-time', '$471 per credit (in-state)'], ['part-time', '$963 per credit (out-of-state)']]","1,358"
,,,,
University of Tennessee--Knoxville (Tickle),Knoxville,59,"[['full-time', '$639 per credit (in-state)'], ['full-time', '$1,650 per credit (out-of-state)'], ['part-time', '$639 per credit (in-state)'], ['part-time', '$1,650 per credit (out-of-state)']]",856
Stony Brook University--SUNY,Stony Brook,62,"[['full-time', '$11,310 per year (in-state)'], ['full-time', '$23,100 per year (out-of-state)'], ['part-time', '$471 per credit (in-state)'], ['part-time', '$963 per credit (out-of-state)']]","1,052"
University of Arizona,Tucson,62,"[['full-time', '$11,938 per year (in-state)'], ['full-time', '$32,065 per year (out-of-state)'], ['part-time', '$853 per credit (in-state)'], ['part-time', '$1,781 per credit (out-of-state)']]",720
University of Texas--Dallas (Jonsson),Richardson,62,"[['full-time', '$14,560 per year (in-state)'], ['full-time', '$28,610 per year (out-of-state)']]","1,355"
Tufts University,Medford,65,"[['full-time', '$50,910 per year'], ['part-time', '$1,697 per credit']]",493
Auburn University (Ginn),Auburn,66,"[['full-time', '$10,080 per year (in-state)'], ['full-time', '$30,240 per year (out-of-state)'], ['part-time', '$560 per credit (in-state)'], ['part-time', '$1,680 per credit (out-of-state)']]",578
Colorado State University (Scott),Fort Collins,66,"[['full-time', '$584 per credit (in-state)'], ['full-time', '$1,433 per credit (out-of-state)'], ['part-time', '$584 per credit (in-state)'], ['part-time', '$1,433 per credit (out-of-state)']]",740
Lehigh University (Rossin),Bethlehem,66,"[['full-time', '$1,500 per credit'], ['part-time', '$1,500 per credit']]",507
Rochester Institute of Technology (Gleason),Rochester,66,"[['full-time', '$50,136 per year'], ['part-time', '$2,089 per credit']]",816
University of Houston (Cullen),Houston,66,"[['full-time', '$9,615 per year (in-state)'], ['full-time', '$18,748 per year (out-of-state)'], ['part-time', '$6,410 per year (in-state)'], ['part-time', '$12,499 per year (out-of-state)']]",892
,,,,
Clemson University,Clemson,71,"[['full-time', '$10,600 per year (in-state)'], ['full-time', '$22,050 per year (out-of-state)'], ['part-time', '$724 per credit (in-state)'], ['part-time', '$1,451 per credit (out-of-state)']]","1,108"
Oregon State University,Corvallis,71,"[['full-time', '$14,796 per year (in-state)'], ['full-time', '$27,648 per year (out-of-state)'], ['part-time', '$548 per credit (in-state)'], ['part-time', '$1,024 per credit (out-of-state)']]",988
University of Central Florida,Orlando,71,"[['full-time', '$288 per credit (in-state)'], ['full-time', '$1,073 per credit (out-of-state)'], ['part-time', '$288 per credit (in-state)'], ['part-time', '$1,073 per credit (out-of-state)']]","1,005"
